log.prior	log.likelihood	log.likelihood.test.set
-7.119373492340819212e+02 -6.016987072004823176e+02 -1.844904948708665415e+01
-7.154185252292884343e+02 -6.038884225496665294e+02 -1.828697047728985581e+01
-7.080771877304980535e+02 -6.116425268008217699e+02 -1.920383229131050484e+01
-7.113955475683062559e+02 -6.071531247642199105e+02 -1.892306844003894639e+01
-7.095799521488577284e+02 -6.056398869446317121e+02 -1.872016637033442521e+01
-7.108759158923388668e+02 -6.000460602438305386e+02 -1.827498556531332952e+01
-7.196417441323000048e+02 -6.015133903549732395e+02 -1.824178039003311369e+01
-7.216595040973124924e+02 -6.050247137705005116e+02 -1.855809619950395017e+01
-7.215985178294328080e+02 -6.060347869803379126e+02 -1.862261375413942233e+01
-7.152573481711425529e+02 -6.030428218059691972e+02 -1.903667263073327831e+01
-7.228937667704179830e+02 -6.033532512056046926e+02 -1.878510370124035944e+01
-7.160031235175762276e+02 -6.015012462191976965e+02 -1.816470027577105384e+01
-7.151264707150348841e+02 -6.084258309717076827e+02 -1.864700971911958050e+01
-7.122384545762158723e+02 -6.067489542724492821e+02 -1.878592859179246943e+01
-7.105156825746809091e+02 -6.044268603445261760e+02 -1.886958608425817374e+01
-7.219241499841760970e+02 -6.016392574261102482e+02 -1.876014310352661596e+01
-7.126308749339996211e+02 -6.027675839106342437e+02 -1.879927621879792810e+01
-7.087640345742296404e+02 -6.022194745639453686e+02 -1.856112083136895308e+01
-7.125973257845788567e+02 -6.053056609647908317e+02 -1.841709061465343211e+01
-7.097124457065717706e+02 -6.027887942779661898e+02 -1.867490359584257931e+01
-7.081216617490227918e+02 -6.046151172688907991e+02 -1.889028282748256515e+01
-7.150627405664686194e+02 -6.021750870451398896e+02 -1.856006339147864992e+01
-7.100639218604321741e+02 -6.000092109739018724e+02 -1.873411044233421308e+01
-7.113788661034978986e+02 -5.950254125903143176e+02 -1.833572408346412885e+01
-7.139401724325564373e+02 -5.956639316861464977e+02 -1.866221525705697104e+01
-7.143236661156414584e+02 -6.012754579015927447e+02 -1.863249936785672389e+01
-7.249522775280570386e+02 -5.975208136773685510e+02 -1.860293510871116496e+01
-7.236031033308279348e+02 -6.016989551813702519e+02 -1.867826805413739066e+01
-7.241589568787879898e+02 -5.979643598992531679e+02 -1.891984852048341281e+01
-7.248387113867169091e+02 -6.061044856254941351e+02 -1.881139488033005591e+01
-7.340959157584927652e+02 -5.994944238724331171e+02 -1.904285919385512216e+01
-7.381909198040552837e+02 -6.006989246136502061e+02 -1.903500461105971908e+01
-7.317907548270027291e+02 -5.990005748153146214e+02 -1.846197510711454015e+01
-7.426158835728398344e+02 -6.039251660093249257e+02 -1.947727942406186230e+01
-7.341911865098074941e+02 -6.054101733731616832e+02 -1.875822750946935003e+01
-7.309343115134871596e+02 -6.017016855767489005e+02 -1.894770226010820124e+01
-7.281305363138585562e+02 -6.005025497903884570e+02 -1.826750701818519929e+01
-7.254955831761719764e+02 -5.985620678039490485e+02 -1.861398365043174863e+01
-7.337628478981960143e+02 -6.027995630119512498e+02 -1.865762374351567132e+01
-7.352619974238523355e+02 -6.018936268753136574e+02 -1.873040602897947338e+01
-7.414283186792500828e+02 -6.033092717209131024e+02 -1.759959876461488193e+01
-7.402517009504299494e+02 -6.043830986656485038e+02 -1.700379955822211286e+01
-7.387035968303234768e+02 -6.058896262285047669e+02 -1.705547943806647027e+01
-7.440419766680423663e+02 -6.037600506039772199e+02 -1.630842756688855388e+01
-7.523501453343430967e+02 -6.027922583082572601e+02 -1.731720417280797619e+01
-7.563965957343159516e+02 -5.954711005997795610e+02 -1.724985821178006518e+01
-7.568923012552675118e+02 -5.988990332659792557e+02 -1.767131583272504258e+01
-7.535637654255799589e+02 -6.001952053995860297e+02 -1.820346258505725245e+01
-7.506574600804850661e+02 -6.061642544157763268e+02 -1.647274769070799039e+01
-7.477990152744212082e+02 -6.036666857024632691e+02 -1.773704097778738742e+01
-7.580670114300527302e+02 -6.010537259537046566e+02 -1.684883112706791053e+01
-7.575288128140158506e+02 -6.050167948399664510e+02 -1.699498955802152977e+01
-7.556054617733591385e+02 -6.001218151971704629e+02 -1.828478667598528773e+01
-7.594681188293516243e+02 -6.012163778589579124e+02 -1.795311362691671775e+01
-7.709409260666291175e+02 -6.006123474549220873e+02 -1.839505656575067860e+01
-7.583376611837537666e+02 -6.006639850502324407e+02 -1.783829849604558149e+01
-7.521994455932473329e+02 -5.983759490260467828e+02 -1.681846696487491499e+01
-7.564313683540087823e+02 -5.968236810534258439e+02 -1.641199802919567219e+01
-7.560520518252679949e+02 -6.040924770581491430e+02 -1.704650932532655361e+01
-7.534703529147806194e+02 -5.979774832494513248e+02 -1.670513873591261245e+01
-7.401804465949446694e+02 -6.007872474153463145e+02 -1.720103365480974844e+01
-7.418872415918335719e+02 -6.024765458021057611e+02 -1.777137229353462544e+01
-7.447245480375498801e+02 -6.025203049940823803e+02 -1.653060104412469400e+01
