influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 9.934008571946538524e+00 8.357011912166258938e+00 7.736218426530133030e+00 0.000000000000000000e+00 5.105456279401874219e-09 9.941770683839145306e+00 9.888146138713320710e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.593237296648368329e+00 9.301464308007140858e+00 4.757466818661550079e+00 0.000000000000000000e+00 8.924788459381212566e-09 9.787448482844260056e+00 9.094417305702279464e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.369991191849045720e+00 9.398349437101481740e+00 8.819822581127240824e+00 0.000000000000000000e+00 5.598416002583796411e-09 9.857019934568088004e+00 9.967999076552519711e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.620861597069652049e+00 8.432673760724034295e+00 8.853497695419479285e+00 0.000000000000000000e+00 1.027510219164500979e-08 9.974810481447232036e+00 9.368404941977168221e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.604642116972955890e+00 8.669957886092049648e+00 9.707771459498713895e+00 0.000000000000000000e+00 1.942486193152141053e-09 9.744447277865070589e+00 7.314599822242106697e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.139898009116264710e+00 7.911057615381124286e+00 8.584345805535633644e+00 0.000000000000000000e+00 1.282790343252135374e-09 9.304665295692062799e+00 7.963819638617042784e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.056530523240496677e+00 8.222611791821675453e+00 8.839640236859533928e+00 0.000000000000000000e+00 1.870670685866949559e-09 9.601506596602130017e+00 9.440183169813799680e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.159205223441785115e+00 8.245920818670436248e+00 8.150627411605871231e+00 0.000000000000000000e+00 2.624647252583590677e-09 9.091422856331631053e+00 9.615325021822656026e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.369633944510100676e+00 9.666789825433728112e+00 2.954461581341243370e+00 0.000000000000000000e+00 2.950337881290893137e-09 8.727643007769254169e+00 9.514449699071588995e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.524146702088449601e+00 9.288139778249476564e+00 6.206341517862844270e+00 0.000000000000000000e+00 1.017750714913389006e-08 8.715285343127902706e+00 9.757856818800492604e+00 0.000000000000000000e+00
