word.concentration.1	word.concentration.2	word.concentration.3	
3.337624568999416841e+00 7.226049548595796068e+00 6.969658246993608586e+00
5.298755337165326651e+00 8.787882915635631065e+00 5.111215401806111558e+00
4.513866011039735504e+00 6.826702066964354998e+00 7.393801072491802628e+00
3.442428232434275870e+00 2.890451430759183538e+00 8.287445111368199946e+00
3.867614152319433174e+00 5.317507646278815336e+00 4.520863498981798401e+00
3.238584816083124540e+00 5.246468773839328747e+00 6.267926312924734233e+00
3.610070174819465905e+00 8.197667954302758631e+00 5.616904363088094598e+00
3.878863926286371111e+00 7.334701573421350318e+00 8.212616553816246778e+00
3.594372868926083875e+00 6.952562836228610266e+00 7.398278823445757268e+00
3.388269018807495758e+00 7.913703784408309794e+00 4.212966248849052242e+00
4.090108437683466214e+00 9.963588809114822809e+00 6.642245310273994008e+00
3.104067824697193334e+00 8.715477125980207518e+00 3.287556580052712008e+00
4.000713985091430835e+00 5.618627765424092146e+00 5.571715799766570498e+00
4.266488212206815511e+00 7.993994049300938265e+00 4.051570742154035010e+00
2.969542088722445072e+00 7.724474516628548670e+00 5.594798253569178925e+00
2.999599466496848166e+00 8.182461023742556350e+00 3.809960578862738423e+00
3.624364275086101372e+00 6.994376866528067005e+00 5.371102408463769962e+00
4.412734109048850328e+00 9.568292272805434706e+00 4.031065248096592057e+00
3.567942074045521217e+00 6.919237705753111811e+00 3.471461143024585638e+00
3.616493962217325553e+00 8.301566909702499331e+00 3.369362903116790875e+00
3.161539981017068346e+00 7.130873203249594283e+00 5.239970086422635731e+00
4.876700645701772530e+00 7.649169185477178168e+00 4.877783177302085882e+00
4.378619778728119805e+00 5.590479101379059124e+00 6.683387710145479055e+00
4.984539225977986376e+00 6.884689897681830040e+00 6.661837499863833223e+00
4.886024713639513628e+00 6.109824040809153090e+00 2.704756280332071938e+00
4.119951432515006395e+00 5.162214626853298682e+00 7.499926742847999428e+00
4.204173231378051767e+00 6.497726887284059671e+00 2.763135584723021232e+00
4.566204222970553062e+00 7.199762303016149723e+00 3.480950928370512454e+00
3.325998523603847179e+00 6.730113812218401215e+00 3.261803378527206476e+00
3.234555837791682098e+00 8.594276008935651134e+00 4.787347084510001238e+00
4.261257920204423399e+00 7.418924693064163023e+00 5.970714620109061066e+00
3.276318358754885196e+00 8.780266953178886169e+00 5.616328382401806429e+00
2.815226765832617772e+00 9.638017755425112298e+00 4.576584478697127700e+00
4.323693046190114408e+00 5.801391693315676612e+00 4.556364648388278482e+00
4.056187843682843130e+00 7.284998796569633228e+00 5.234971663886152982e+00
3.292169522335989917e+00 7.282670618543550134e+00 2.802294519583840238e+00
4.246928004114879585e+00 8.131573952065579647e+00 2.968266251953930013e+00
3.433277991589412714e+00 7.469452905172140333e+00 3.458559718822027840e+00
