time.decay.1	time.decay.2	time.decay.3	
1.077727160282260996e+02 1.021340220502172826e+02 1.028026560603141490e+02
9.611372566574388543e+01 9.703369364328936797e+01 1.011162566618491354e+02
9.133092363530512614e+01 1.036801605817446159e+02 8.049594790978402159e+01
1.147063543208329293e+02 1.097055757762223607e+02 1.027607326663162723e+02
1.053033624951760316e+02 9.688713377196933152e+01 8.341959470295830670e+01
9.989316888086861468e+01 1.068425245762182385e+02 1.156338063230912354e+02
9.304046498645074337e+01 1.010113250786086638e+02 9.393696569167771315e+01
1.033278564407997919e+02 1.072494884438499838e+02 1.142948086470354951e+02
9.089013847760166698e+01 1.015645618744302112e+02 9.857765706781688664e+01
9.189787003580556757e+01 1.064509241765217240e+02 7.772719443457610566e+01
1.034626818970700413e+02 9.473305114743219235e+01 1.277870885152157854e+02
1.051129841693317246e+02 1.080365648166676635e+02 1.085069896937462062e+02
1.009363557376057798e+02 1.030159046202777517e+02 1.092336705192088004e+02
1.025391059210009814e+02 1.012621194892364827e+02 7.961567287640821178e+01
1.006939082674055044e+02 9.548421754589340082e+01 8.384898171898939268e+01
1.026727975656634300e+02 1.033754088416837078e+02 1.058546107932477014e+02
1.024871884150095127e+02 1.056587705599595211e+02 8.853725632250501576e+01
1.067779118248299710e+02 1.097796245146089973e+02 1.119242432710200887e+02
9.872137932637045310e+01 1.089448434950301277e+02 1.136621956868494863e+02
8.807544448325431574e+01 1.032106404910562958e+02 1.153173252743446682e+02
8.719426929680638239e+01 1.157318756151057215e+02 9.951783414118600035e+01
1.083031234465526040e+02 9.701715932640847484e+01 9.960169742695626383e+01
1.055200140700203804e+02 1.063002677139264449e+02 1.068634869265013947e+02
9.075254533802922197e+01 1.017356676423097781e+02 1.036776129506134794e+02
1.063114451646655567e+02 9.817886134401277332e+01 9.846152531516734996e+01
9.215563671778134847e+01 1.117380352235888950e+02 1.091767387347129841e+02
1.065234509160691090e+02 1.104244940455078705e+02 9.309277524194033049e+01
9.810707712494078692e+01 9.687457733540364302e+01 8.376710301523716851e+01
9.831928987950081478e+01 9.737819835465489859e+01 1.279416774468383267e+02
9.818285886710529553e+01 9.223764852659731162e+01 1.241770263206337290e+02
1.068835302821746893e+02 9.353660500721842652e+01 8.522309630705201755e+01
1.128861882364809048e+02 9.796899010022922027e+01 1.115970211539608101e+02
1.072458748954321948e+02 8.169784734050367092e+01 1.088667120230959995e+02
1.090616418191770975e+02 8.610812383484754662e+01 9.938258037882414442e+01
1.201299670245107052e+02 9.329396013423448153e+01 1.069402379694268177e+02
1.253357190389083087e+02 1.236206230738292930e+02 9.226732765962043459e+01
1.244765155621117003e+02 9.128227672473786924e+01 1.167156317236399730e+02
1.060843369737746258e+02 9.571889921252045497e+01 8.964290507279103792e+01
1.158471661398376966e+02 9.404457081967707666e+01 8.704395619272472118e+01
8.716115602945534135e+01 1.084040566452810737e+02 9.099931924325974819e+01
1.138278126004155979e+02 1.172013134548029427e+02 1.013396463445623112e+02
1.138814055704621211e+02 1.186776886540582012e+02 1.058387015582030131e+02
9.675509378890701839e+01 1.051004552107658014e+02 1.187390467614421539e+02
9.591006323754024265e+01 9.161533245234407730e+01 1.035986671930996295e+02
9.743310096441891233e+01 1.083206679651451907e+02 1.025873134078686064e+02
1.013592992273844118e+02 1.083782091517378490e+02 9.231945514056160107e+01
1.060194445103374647e+02 1.091878612527104053e+02 1.027954816840401975e+02
1.185158504728452442e+02 1.126458032955698627e+02 9.120338933061920272e+01
1.130994396445744599e+02 1.015822629438089848e+02 9.736227440656492149e+01
9.988675642017372525e+01 1.131255024848718449e+02 1.126568333994495106e+02
1.060850603401964776e+02 9.637946818479976230e+01 9.974189118324119363e+01
1.072634949884264586e+02 1.030844041719898030e+02 1.038079307395441191e+02
9.202957500088569986e+01 1.013032391630524529e+02 1.074711652109683939e+02
1.096375070409968089e+02 1.007228754791255199e+02 1.127065083017373439e+02
9.962770559687498917e+01 1.025810125274188920e+02 1.069679166851073973e+02
1.036015453250837197e+02 9.629019049751715897e+01 9.380151155593780743e+01
9.420880958788268345e+01 1.096167344517015607e+02 1.017234066476814860e+02
9.924592368155647648e+01 1.048465784176317328e+02 1.044288393748076373e+02
1.073625857176384528e+02 1.036917738397327184e+02 1.374875415553410107e+02
1.031081912176870361e+02 9.489018624756806730e+01 1.239227818939010604e+02
1.055472610465789387e+02 1.014899266882191853e+02 1.207413690438741014e+02
9.443835474314411726e+01 9.270085048371507241e+01 1.059060845980458794e+02
1.191026922209259737e+02 9.535564493187311541e+01 1.030119925264750407e+02
1.347456046175714732e+02 8.169271538032526792e+01 1.023524641381819862e+02
1.355674895793044641e+02 1.358118881926384347e+02 1.028025806595847911e+02
9.565321806587610354e+01 1.176425602877885694e+02 8.207458509241449462e+01
1.135442532719901578e+02 1.210377975857231121e+02 1.164022238745307334e+02
8.962397551981722188e+01 1.161733127179083880e+02 8.748112184411694159e+01
9.120903609400198775e+01 9.815574912337434910e+01 1.173924651927230371e+02
1.044964181336048057e+02 8.406746920966773473e+01 1.028682191462868900e+02
1.046850605739315654e+02 1.002848215175886821e+02 1.023639358197152234e+02
1.044397343541275234e+02 1.005623606024545609e+02 1.078933209987890081e+02
1.057177243890634060e+02 1.016356020310825841e+02 1.136211435333536173e+02
8.127725965495045557e+01 1.087431482708111474e+02 1.130053365886857648e+02
1.152396399435713192e+02 1.072133092474406197e+02 8.944627670068598491e+01
1.044144602989763655e+02 1.074229111851646223e+02 1.124663216277900233e+02
1.167190130856751580e+02 1.123748935942186904e+02 9.290623659605834916e+01
1.138587606992816319e+02 1.149438276997476862e+02 1.086000261630399990e+02
1.031876484584584119e+02 7.495075564904077225e+01 9.273612693585593547e+01
1.076627962746007370e+02 7.425904502547066954e+01 1.078384187246191743e+02
9.343528949179983556e+01 1.199541945136341781e+02 1.076260693377350890e+02
9.953654791775451827e+01 1.009231478608274415e+02 1.070371598896599181e+02
1.095794608831482577e+02 1.109330288124399573e+02 1.065015496350893756e+02
1.019260607053281120e+02 1.152209435412116534e+02 9.487806816917938590e+01
1.044743555653702458e+02 1.154461076352171460e+02 9.616899995672606849e+01
9.528839496982362789e+01 8.877648151788109487e+01 9.650405188349174068e+01
9.928797926606995361e+01 1.087804026434018994e+02 9.745719515338780070e+01
9.234768655083503575e+01 1.088352033832071584e+02 1.030861861140614621e+02
9.826332113334282781e+01 1.122156754526183278e+02 9.807376614733890108e+01
9.621413079380624822e+01 9.104630180591678368e+01 9.731472440155145875e+01
9.324812929907407977e+01 1.184233285906468041e+02 1.011068395123911898e+02
1.111370583901946532e+02 1.174803036136081857e+02 1.103965610217395863e+02
9.451797197034062492e+01 8.530312888223051004e+01 9.542922185761366904e+01
8.252157970403781917e+01 9.895248609809996765e+01 9.705474425217855128e+01
8.279643915692670930e+01 1.004535441427290294e+02 9.738725146499984930e+01
9.952026241472742640e+01 1.031962165740834934e+02 8.769303784839561899e+01
1.040646538801705816e+02 1.014831644212510184e+02 1.089533187938332048e+02
9.142952170481601115e+01 1.120058151284769821e+02 9.475641385479684686e+01
1.098669713042527007e+02 1.185745977014001511e+02 1.117940646037125418e+02
1.005011947609766594e+02 1.067066770080766389e+02 9.206651921333849486e+01
9.530832087090385585e+01 1.078954878638347736e+02 1.001892419751708019e+02
9.975600686112949234e+01 1.109622806960674382e+02 1.192031716293131609e+02
1.057036706761963671e+02 1.112436654117198884e+02 7.834053858219084532e+01
1.073611828170084976e+02 1.044002303693066267e+02 7.693503289392292288e+01
1.022674308843257052e+02 1.108912362086277028e+02 8.815162415108291327e+01
9.741750862670922118e+01 8.797611106391869384e+01 9.821422226483912254e+01
1.021611195036650486e+02 9.778924943662794078e+01 1.102314553208884575e+02
1.046364247949086348e+02 1.077784295192451509e+02 1.179428619057508172e+02
